run_name,num_samples,mae_rounded,mae_raw,rmse_raw,acc_exact,acc_within_1,acc_within_2,balanced_accuracy,pearson_r,spearman_r,pred_entropy_bits,run_timestamp,conv_blocks,use_bn,use_strided_conv,use_augment,filters,init,l2,dropout,lr,model_type,finetune_base,best_val_raw_mae,best_val_epoch,final_val_raw_mae,final_val_loss
20251106-081801_conv3_nobn_glorot_l2-0.0_drop-0.0_lr-0.001,895,1.030167597765363,1.0635186779776535,1.3667498227162167,0.31843575418994413,0.740782122905028,0.9273743016759777,0.2634226400017444,0.7353966915660601,0.7274307266587036,2.5020962599146594,20251106-081801,3,False,,,,glorot,0.0,0.0,0.001,,,1.1153401136398315,49,1.1153401136398315,1.068058729171753
20251106-091027_conv3_nobn_glorot_l2-0.0_drop-0.0_lr-0.001,895,0.9910614525139665,1.0385619401117319,1.3347287063126476,0.32625698324022345,0.7642458100558659,0.9329608938547486,0.26136701401442375,0.7436710659538205,0.7360625773311836,2.4843926332634227,20251106-091027,3,False,,,,glorot,0.0,0.0,0.001,,,1.1153401136398315,49,1.1153401136398315,1.068058729171753
20251106-091119_conv3_nobn_randn_l2-0.0_drop-0.0_lr-0.001,895,1.0167597765363128,1.0522753266815643,1.3401419818611744,0.30726256983240224,0.7553072625698324,0.9351955307262569,0.25764337971823814,0.7368424870940257,0.731109297417741,2.5438116247736007,20251106-091119,3,False,,,,randn,0.0,0.0,0.001,,,1.106736421585083,47,1.1312925815582275,1.091552972793579
20251106-105236_conv3_bn_glorot_l2-0.0_drop-0.0_lr-0.001,895,0.9262569832402234,0.9614603487821229,1.2600754384629484,0.3553072625698324,0.7988826815642458,0.9351955307262569,0.288610625443779,0.7761600337402272,0.7658486578520276,2.5270682557654496,20251106-105236,3,True,,,,glorot,0.0,0.0,0.001,,,0.9878787398338318,35,1.1381479501724243,1.126960515975952
20251106-113131_conv3_bn_glorot_l2-1e-05_drop-0.0_lr-0.001,895,0.9329608938547486,0.965655093452514,1.2478650531344924,0.33854748603351953,0.7910614525139665,0.9508379888268157,0.28553675354093266,0.7763937880021271,0.7635655634530816,2.5381413691974135,20251106-113131,3,True,,,,glorot,1e-05,0.0,0.001,,,1.023513913154602,26,1.045696496963501,1.0279160737991333
20251106-115757_conv3_bn_glorot_l2-0.0001_drop-0.0_lr-0.001,895,0.9418994413407821,0.9523018068156426,1.2264624677393494,0.32513966480446926,0.7921787709497207,0.9508379888268157,0.2750322101610062,0.7908340152068964,0.766676854743247,2.5265750285758513,20251106-115757,3,True,,,,glorot,0.0001,0.0,0.001,,,1.0113500356674194,30,1.1068120002746582,1.101305603981018
20251106-115916_conv3_bn_glorot_l2-0.001_drop-0.0_lr-0.001,895,0.994413407821229,1.0026761403351956,1.2880404442354851,0.31731843575418994,0.7541899441340782,0.9463687150837988,0.24045879467717746,0.7728827690731171,0.7556545666239949,2.33090053008575,20251106-115916,3,True,,,,glorot,0.001,0.0,0.001,,,1.0413081645965576,34,1.6033856868743896,1.72565495967865
20251106-122951_conv3_bn_glorot_l2-0.0_drop-0.0_lr-0.001,895,0.9966480446927374,1.0208143775418994,1.3165730478778777,0.3005586592178771,0.7865921787709497,0.9363128491620112,0.27658524484885283,0.76371548607386,0.7512710936704927,2.6956131564757886,20251106-122951,3,True,,,,glorot,0.0,0.0,0.001,,,0.9878787398338318,35,1.1381479501724243,1.126960515975952
20251106-124201_conv3_bn_glorot_l2-1e-05_drop-0.0_lr-0.001,895,0.976536312849162,0.9978541456983242,1.2844308664203188,0.31731843575418994,0.7865921787709497,0.9351955307262569,0.2644776657679444,0.7621024083121547,0.7458485540742485,2.507408124330171,20251106-124201,3,True,,,,glorot,1e-05,0.0,0.001,,,1.023513913154602,26,1.045696496963501,1.0279160737991333
20251107-070343_conv3_bn_glorot_l2-0.0001_drop-0.3_lr-0.001,895,1.1195530726256984,1.1529045581005588,1.489124803502932,0.3016759776536313,0.7016759776536313,0.9027932960893855,0.21206665976348615,0.7364002463231835,0.724144301997354,2.2072566258146797,20251107-070343,3,True,,,,glorot,0.0001,0.3,0.001,,,1.1904116868972778,27,1.9606136083602903,1.9760558605194092
20251107-072904_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,895,0.8446927374301676,0.8901843512849162,1.1421759118458474,0.3564245810055866,0.841340782122905,0.9653631284916201,0.31023476769925934,0.8171600657552017,0.7900707262302017,2.6326278184977263,20251107-072904,4,True,,,,glorot,0.0001,0.2,0.001,,,0.9432359933853148,39,1.0061622858047483,1.0503844022750854
20251107-080439_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,895,0.852513966480447,0.8857296641340784,1.1416521736390774,0.35977653631284917,0.8301675977653631,0.9653631284916201,0.3026756125527614,0.8179130985657643,0.7939773068126428,2.5709842346429626,20251107-080439,4,True,,,,glorot,0.0001,0.2,0.001,,,0.9432359933853148,39,1.0061622858047483,1.0503844022750854
20251107-085916_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,895,0.8558659217877095,0.8875639125139664,1.1385494357459702,0.35195530726256985,0.8346368715083798,0.964245810055866,0.3147592278320841,0.8193131292381193,0.804932490880946,2.6244380424684666,20251107-085916,4,True,,,,glorot,0.0001,0.2,0.001,,,0.9432359933853148,39,1.0061622858047483,1.0503844022750854
20251107-094207_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,895,0.8983240223463688,0.928160673519553,1.1782658639906818,0.34301675977653634,0.8122905027932961,0.9541899441340782,0.29091101297087163,0.8049532186137535,0.7775748271263061,2.5601129843699297,20251107-094207,4,True,,,,glorot,0.0001,0.2,0.001,,,0.9432359933853148,39,1.0061622858047483,1.0503844022750854
20251107-124027_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.0005,895,0.8726256983240224,0.9109187278659218,1.169700797796811,0.34301675977653634,0.829050279329609,0.9631284916201117,0.30966526647692827,0.8101909580262014,0.7785589919763037,2.6991071511136306,20251107-124027,4,True,,,,glorot,0.0001,0.2,0.0005,,,0.9782655835151672,36,1.4892728328704834,1.5222597122192385
20251107-130225_conv4_strided_f32-64-128-256_bn_aug_glorot_l2-0.0001_drop-0.2_lr-0.001,895,0.9206703910614525,0.9657097498324021,1.244793485764445,0.3486033519553073,0.794413407821229,0.9452513966480447,0.30891973819800145,0.7804212285731357,0.7610742941771962,2.6048321149350797,20251107-130225,4,True,True,True,32-64-128-256,glorot,0.0001,0.2,0.001,,,1.0189121961593628,21,1.393816590309143,1.4337745904922483
20251107-132241_conv4_strided_f64-128-256-512_bn_aug_glorot_l2-0.0001_drop-0.2_lr-0.001,895,1.0022346368715085,1.0307222794413409,1.3166213887855025,0.3005586592178771,0.7776536312849162,0.9318435754189944,0.2548816491124074,0.7493771813121092,0.7260062427355554,2.505209153564949,20251107-132241,4,True,True,True,64-128-256-512,glorot,0.0001,0.2,0.001,,,1.0855810642242432,14,1.0902118682861328,1.1670639514923096
20251108-104218_conv3_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,895,1.0145251396648045,1.0284894834636873,1.3130933514374077,0.30502793296089387,0.758659217877095,0.9340782122905028,0.25113214200553396,0.7586101160154736,0.7439129143746284,2.4754228907493037,20251108-104218,3,True,,,,glorot,1e-05,0.2,0.001,,,1.1412080526351929,19,2.6312923431396484,2.1548030376434326
20251108-105550_conv3_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,895,1.0581005586592178,1.0791395282681564,1.3786441726074534,0.2927374301675978,0.7441340782122905,0.924022346368715,0.23755862311946646,0.7355463550976463,0.7181265466236737,2.4749003093643482,20251108-105550,3,True,,,,glorot,1e-05,0.2,0.001,,,1.1412080526351929,19,2.6312923431396484,2.1548030376434326
20251108-112825_conv4_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,895,0.8212290502793296,0.8485909002234636,1.098718808393745,0.37206703910614525,0.8435754189944135,0.9687150837988827,0.3218904199269678,0.8353406367065294,0.8164398062100622,2.6241575395604047,20251108-112825,4,True,,,,glorot,1e-05,0.2,0.001,,,0.9165092706680298,42,1.1001816987991333,0.6936144232749939
20251108-112840_conv4_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,895,0.8111731843575419,0.8521786848379889,1.1037251557770662,0.3843575418994413,0.8446927374301676,0.9653631284916201,0.3242730277264102,0.8311476705463099,0.8130994840570549,2.5730776164455245,20251108-112840,4,True,,,,glorot,1e-05,0.2,0.001,,,0.9165092706680298,42,1.1001816987991333,0.6936144232749939
20251108-124017_conv4_bn_glorot_l2-1e-05_drop-0.1_lr-0.001,895,0.8279329608938547,0.857346231463687,1.1007327137015352,0.36201117318435755,0.846927374301676,0.9698324022346368,0.3317678233430133,0.8317751420715893,0.8243465514978815,2.6613660487321233,20251108-124017,4,True,,,,glorot,1e-05,0.1,0.001,,,0.919533908367157,57,0.9806205630302428,0.9535740613937378
